timeStamp,averageExecutionTime,medianOfFlowDuration,maxFlowDuration,flowDurationList,avgCpuByProcess,medianOfCpuByProcess,maxCpuByProcess,cpuByProcessList,avgDiskByProcess,medianOfDiskByProcess,maxDiskByProcess,diskByProcessList,avgMemByProcess,medianOfMemByProcess,maxMemByProcess,memByProcessList,percentageHeap,medianOfHeap,maxHeap,percentHeapList,percentageWorkerThreads,medianOfWorkerThreads,maxWorkerThreads,percentWorkerThreadsList,avgInBufferSize,medianOfInBuffer,maxInBuffer,inBufferSizeList,percentageOutBuffer,medianOfOutBuffer,maxOutBuffer,percentOutBufferList,avgSystemCpuJmx,medianOfSystemCpu,maxSystemCpu,systemCpuJmxList
Jan 10-- 2021 10:17:37 AM,12117.2,12016,13519,13519;11459;12016;12585;11007;,0.319515082,0.38,0.42,0.4199815149477505;0.39437306582202625;0.36619210405050695;0.09751364334995907;,323237239.8,3.23E+08,323238412,323238412;323237370;323236849;323236328;,52,52,52,52.0;52.0;52.0;52.0;,0.232247527,0.259,0.3,0.29974822304806215;0.25759474012169703;0.2595689734156855;0.1120781731007766;,11.25,11,12,11.0;11.0;11.0;12.0;,0,0,0,0;0;0;0;,1.24,1.313,2.2,0.13333333333333333;2.1466666666666665;2.1999999999999997;0.48;,0.320889463,0.381,0.423,0.4225416159288583;0.392589377566798;0.36939125406016243;0.0990356039562952;
Jan 10-- 2021 10:19:38 AM,12330.6,12607,13069,13047;11803;12607;13069;11127;,0.268165149,0.309,0.375,0.30869433112878747;0.3748322212353353;0.12096889407454031;,323241538,3.23E+08,323242059,323242059;323241538;323241017;,52,52,52,52.0;52.0;52.0;,0.399400816,0.397,0.465,0.3367940666791509;0.39674567614734113;0.46466270410299915;,12.33333333,12,13,12.0;12.0;13.0;,0,0,0,0;0;0;,3.48,4.107,4.16,4.1066666666666665;4.16;2.1733333333333333;,0.268611593,0.307,0.376,0.3074397016692487;0.3758720775583114;0.12252300037591357;
Jan 10-- 2021 10:21:38 AM,12882.4,12560,14117,11881;14117;12560;12352;13502;,0.238169412,0.272,0.317,0.27180437215755465;0.31743389520454895;0.12526996942195964;,323245706,3.23E+08,323246227,323246227;323245706;323245185;,52,52,52,52.0;52.0;52.0;,0.415256196,0.476,0.513,0.47593202137704066;0.2568742198502592;0.5129623455302077;,13,13,13,13.0;13.0;13.0;,0,0,0,0;0;0;,2.528888889,2.267,5.147,0.17333333333333334;5.1466666666666665;2.2666666666666666;,0.239101519,0.275,0.315,0.2748324132179012;0.3152345874789959;0.12723755702838868;
Jan 10-- 2021 10:23:35 AM,12835.6,13427,14548,14548;13427;13947;10872;11384;,0.313714166,0.358,0.417,0.4167606081773401;0.33745143186663584;0.37944695643201515;0.12119766644968222;,323250134.5,3.23E+08,323250916,323250916;323250395;323249874;323249353;,52,52,52,52.0;52.0;52.0;52.0;,0.383473037,0.352,0.502,0.3604860421194844;0.32802227724309885;0.5017649276397567;0.34361889974369825;,14.5,14,16,14.0;16.0;14.0;14.0;,0,0,0,0;0;0;0;,2.296666667,2.24,4.507,2.2800000000000002;4.506666666666667;2.1999999999999997;0.2;,0.313836039,0.361,0.41,0.41024440226023273;0.3383677224602383;0.38445271512139767;0.12227931483068734;
Jan 10-- 2021 10:25:35 AM,12476.2,12200,13072,12882;12030;12200;12197;13072;,0.307680307,0.326,0.446,0.3204315818516138;0.4463249980924523;0.331503903543387;0.13246074581003442;,323254823.5,3.23E+08,323255605,323255605;323255084;323254563;323254042;,52,52,52,52.0;52.0;52.0;52.0;,0.61060435,0.601,0.667,0.5888661220180148;0.6125640925366588;0.5739296679120777;0.6670575180358981;,15.75,15.5,17,15.0;15.0;17.0;16.0;,0.25,0,1,0;0;1;0;,2.283333333,2.36,4.2,0.21333333333333335;2.2533333333333334;4.2;2.466666666666667;,0.308629288,0.322,0.457,0.3130046470748503;0.45684515244694796;0.3310980867528478;0.13356926614356235;
Jan 10-- 2021 10:27:34 AM,12515.8,11794,14518,14518;13744;11227;11296;11794;,0.240463649,0.257,0.319,0.30650949878976524;0.20734748751876475;0.31914298621156045;0.128854624980678;,323259512.5,3.23E+08,323260294,323260294;323259773;323259252;323258731;,52,52,52,52.0;52.0;52.0;52.0;,0.598500946,0.616,0.639,0.6024423028105573;0.5228771425139949;0.6386030237959341;0.6300813133562062;,16.5,16.5,17,17.0;16.0;16.0;17.0;,0,0,0,0;0;0;0;,1.753333333,1.287,4.213,0.22666666666666668;0.3466666666666667;2.2266666666666666;4.213333333333334;,0.243531039,0.261,0.322,0.31012757669642343;0.21136045387715885;0.32231365890878516;0.13032246461677444;
Jan 10-- 2021 10:29:32 AM,11767.2,11448,13567,13567;12241;11448;10568;11012;,0.224869922,0.236,0.306,0.23615641842036542;0.3062815448173846;0.1321718022665403;,323263941,3.23E+08,323264462,323264462;323263941;323263420;,52,52,52,52.0;52.0;52.0;,0.721294215,0.742,0.788,0.7875869375292004;0.7417871834955422;0.634508525420627;,17.66666667,18,18,18.0;18.0;17.0;,2.666666667,0,8,8;0;0;,4.226666667,4.227,4.227,4.226666666666667;4.226666666666667;4.226666666666667;,0.226017938,0.236,0.309,0.23559897279273512;0.3087686919347251;0.13368614820631863;
Jan 10-- 2021 10:31:39 AM,14517,14737,14782,14750;14063;14782;14253;14737;,0.368713023,0.42,0.47,0.38786475330045667;0.470194194665462;0.4269308480455793;0.41956153823025305;0.13901378252207408;,323268630,3.23E+08,323269672,323269672;323269151;323268630;323268109;323267588;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.64539301,0.653,0.665,0.621599427861427;0.6628184058704853;0.6645804457069248;0.6245563217243623;0.6534104509960075;,18.2,18,19,18.0;18.0;19.0;18.0;18.0;,0,0,0,0;0;0;0;0;,2.258666667,2.24,4.28,0.24;0.29333333333333333;4.24;4.279999999999999;2.2399999999999998;,0.370475971,0.421,0.468,0.3894721659702769;0.46781878931754783;0.43391129494996017;0.42084909356306477;0.14032851120537848;
Jan 10-- 2021 10:34:06 AM,13000.6,13750,14141,13750;14141;13798;11360;11954;,0.295953913,0.354,0.381,0.3541112997435631;0.38078506707886994;0.15296537260418214;,323932815,3.24E+08,323933336,323933336;323932815;323932294;,52,52,52,52.0;52.0;52.0;,0.317134376,0.286,0.442,0.2229476402352022;0.44208595356424935;0.2863695340576097;,19.66666667,20,20,20.0;19.0;20.0;,33.33333333,0,100,100;0;0;,1.244444444,1.133,2.253,2.2533333333333334;0.3466666666666667;1.1333333333333333;,0.296339197,0.353,0.382,0.352739519321537;0.38160506406137884;0.15467300782795768;
Jan 10-- 2021 10:36:04 AM,13827,14163,14958,14163;14495;14958;11887;13632;,0.330814122,0.43,0.44,0.4401413703587062;0.43017426867356756;0.12212672648344643;,323936983,3.24E+08,323937504,323937504;323936983;323936462;,52,52,52,52.0;52.0;52.0;,0.477665775,0.458,0.524,0.45778650710597524;0.4512292754594452;0.5239815417631173;,20.66666667,21,21,20.0;21.0;21.0;,0,0,0,0;0;0;,1.671111111,2.267,2.48,0.26666666666666666;2.48;2.2666666666666666;,0.332127718,0.431,0.442,0.44193911722802814;0.4310256729766623;0.12341836301035691;
Jan 10-- 2021 10:39:00 AM,12493.4,13126,13652,12472;13652;13126;13584;9633;,0.373229134,0.412,0.512,0.5116842935535054;0.448741210990149;0.3746154284206533;0.1578756041502201;,323941672,3.24E+08,323942714,323942714;323942193;323941151;323940630;,52,52,52,52.0;52.0;52.0;52.0;,0.461958142,0.486,0.545,0.54486113684953;0.43287887001997477;0.5386151098292249;0.33147745275658186;,21.25,21,22,21.0;21.0;21.0;22.0;,0.25,0,1,1;0;0;0;,1.37,0.407,4.373,0.29333333333333333;0.36;0.45333333333333337;4.373333333333333;,0.376046759,0.413,0.519,0.5185173772263756;0.4514704978892585;0.3750884437189874;0.15911071691106693;
Jan 10-- 2021 10:40:54 AM,13660.4,13528,14607,13528;14113;13338;12716;14607;,0.238876768,0.239,0.374,0.37374361888594543;0.10400991730554715;,323945840,3.24E+08,323946361,323946361;323945319;,52,52,52,52.0;52.0;,0.430493275,0.43,0.445,0.44540323608525806;0.41558331484579136;,22,22,22,22.0;22.0;,0,0,0,0;0;,1.426666667,1.427,2.4,0.45333333333333337;2.4;,0.241961365,0.242,0.379,0.37901217744511784;0.10491055329010134;
Jan 10-- 2021 10:43:49 AM,12517.2,12206,13894,12206;13894;12612;11721;12153;,0.227897414,0.228,0.303,0.3028443201654242;0.1529505074125;,323949226.5,3.24E+08,323949487,323949487;323948966;,52,52,52,52.0;52.0;,0.753667885,0.754,0.809,0.6980177233718925;0.809318046530017;,23.5,23.5,24,23.0;24.0;,0,0,0,0;0;,3.213333333,3.213,6.12,0.3066666666666667;6.12;,0.230515618,0.231,0.307,0.30697950920284334;0.15405172702931358;
Jan 10-- 2021 10:45:47 AM,14230.6,14196,14628,14603;14196;14628;14027;13699;,0.290613552,0.377,0.395,0.3772574379402284;0.3945448568322003;0.10003836202401133;,323953134,3.24E+08,323953655,323953655;323953134;323952613;,52,52,52,52.0;52.0;52.0;,0.777898971,0.834,0.865,0.8654002078007993;0.6339561291297643;0.8343405775347851;,24.33333333,24,25,24.0;25.0;24.0;,0,0,0,0;0;0;,1.755555556,0.613,4.32,0.6133333333333334;4.32;0.33333333333333337;,0.29273744,0.384,0.393,0.3841016156011503;0.392749846287471;0.10136085841682461;
Jan 10-- 2021 10:48:42 AM,11767.2,11650,12692,12692;11603;11650;12073;10818;,0.278974594,0.279,0.406,0.4055665763751916;0.15238261069242637;,323957041.5,3.24E+08,323957302,323957302;323956781;,52,52,52,52.0;52.0;,0.27307792,0.273,0.376,0.3762157607833671;0.16994008014570178;,25.5,25.5,26,26.0;25.0;,0,0,0,0;0;,1.42,1.42,2.387,2.3866666666666667;0.45333333333333337;,0.28137992,0.281,0.409,0.4085849393570593;0.15417490070970674;
Jan 10-- 2021 10:50:43 AM,14006.4,14619,15516,15516;13620;15153;14619;11124;,0.423290142,0.491,0.604,0.5158216775151578;0.6039246182809901;0.46534453920766944;0.10806973208555226;,323961339.8,3.24E+08,323962512,323962512;323961470;323960949;323960428;,52,52,52,52.0;52.0;52.0;52.0;,0.427321565,0.457,0.524,0.5239392426308096;0.45990171224856735;0.4548339581603667;0.27061134873339826;,26.25,26,27,26.0;26.0;27.0;26.0;,0,0,0,0;0;0;0;,0.926666667,0.5,2.347,0.41333333333333333;0.5866666666666667;2.3466666666666667;0.36;,0.426734218,0.495,0.608,0.5200883847551658;0.6077991987020792;0.46935036445341105;0.10969892302864193;
Jan 10-- 2021 10:53:52 AM,50191,73930,75354,73930;74551;75354;13238;13882;,0.326027575,0.291,0.547,0.547121899461691;0.29132859756623186;0.13963222688061708;,323965638,3.24E+08,323966159,323966159;323965638;323965117;,52,52,52,52.0;52.0;52.0;,0.438342074,0.431,0.468,0.4165805270422641;0.4678710705013689;0.4305746233710573;,27,27,27,27.0;27.0;27.0;,0,0,0,0;0;0;,0.515555556,0.373,0.907,0.26666666666666666;0.37333333333333335;0.9066666666666667;,0.326955481,0.292,0.547,0.547350098092962;0.29235637986116525;0.14115996635881;
Jan 10-- 2021 10:57:14 AM,13106.2,13468,14903,13468;13609;12857;14903;10694;,0.371099854,0.407,0.551,0.5510835654889192;0.43467594190370834;0.378700635367127;0.11993927301532245;,323970327,3.24E+08,323971369,323971369;323970848;323969806;323969285;,52,52,52,52.0;52.0;52.0;52.0;,0.59015601,0.6,0.716,0.7139217834079219;0.4445807752841171;0.4860439374333685;0.7160775429286346;,28.25,28,29,28.0;28.0;29.0;28.0;,0.25,0,1,0;0;0;1;,0.393333333,0.453,0.533,0.13333333333333333;0.37333333333333335;0.5333333333333333;0.5333333333333333;,0.374083283,0.412,0.551,0.5510964975832561;0.44248087056276075;0.38190276448970795;0.12085299841346997;
Jan 10-- 2021 11:00:06 AM,11840.2,12241,13405,11612;13010;12241;13405;8933;,0.314273384,0.375,0.462,0.374568612210614;0.4622052010916856;0.10604633871691906;,323974842.3,3.24E+08,323975537,323975537;323975016;323973974;,52,52,52,52.0;52.0;52.0;,0.72825001,0.727,0.826,0.6320601903808414;0.7268645035790309;0.8258253349412816;,29.33333333,29,30,29.0;29.0;30.0;,0,0,0,0;0;0;,1.791111111,0.56,4.373,0.44;0.5599999999999999;4.373333333333333;,0.325062619,0.402,0.464,0.40213086897151984;0.4642621410564831;0.10879484789094296;
Jan 10-- 2021 11:03:12 AM,16006,16356,17390,16356;14465;17390;15113;16706;,0.37557289,0.426,0.587,0.5871786722935075;0.4257591511483581;0.11378084512569267;,324033621,3.24E+08,324144058,324144058;323978663;323978142;,52,52,52,52.0;52.0;52.0;,0.558430269,0.682,0.821,0.17193647777904078;0.8214577768051221;0.6818965526346035;,30.66666667,31,31,31.0;31.0;30.0;,0,0,0,0;0;0;,0.626666667,0.587,1.04,1.04;0.5866666666666667;0.2533333333333333;,0.379591855,0.421,0.602,0.602314248522841;0.421255688329518;0.11520562702058923;
Jan 10-- 2021 11:05:19 AM,19658.8,18823,24102,18345;18823;16813;24102;20211;,0.216722711,0.165,0.368,0.36827029106869225;0.16480527397804823;0.11709256764277066;,325137122.7,3.25E+08,325137991,325137991;325136949;325136428;,52,52,52,52.0;52.0;52.0;,0.327107617,0.36,0.421,0.360087173644626;0.2003418704429886;0.4208938073564993;,31,31,31,31.0;31.0;31.0;,0,0,0,0;0;0;,1.124444444,0.44,2.507,0.44;0.4266666666666667;2.506666666666667;,0.218088537,0.167,0.369,0.369216952884453;0.16672499009433417;0.11832366933507753;
Jan 10-- 2021 11:08:30 AM,10945.2,11029,13341,12580;13341;11029;8986;8790;,0.150747047,0.151,0.151,0.15074704745820103;,325140596,3.25E+08,325140596,325140596;,52,52,52,52.0;,0.543701325,0.544,0.544,0.5437013245846837;,32,32,32,32.0;,0,0,0,0;,2.426666667,2.427,2.427,2.4266666666666667;,0.152169505,0.152,0.152,0.1521695052385713;
Jan 10-- 2021 11:10:36 AM,11682.4,12304,13267,13131;12304;13267;11444;8266;,0.099259899,0.099,0.099,0.09925989853637486;,325143722,3.25E+08,325143722,325143722;,52,52,52,52.0;,0.596194118,0.596,0.596,0.5961941181955162;,34,34,34,34.0;,0,0,0,0;,4.453333333,4.453,4.453,4.453333333333333;,0.100298438,0.1,0.1,0.10029843785612258;
Jan 10-- 2021 11:13:52 AM,83246.2,83158,84065,82237;84065;83147;83624;83158;,0.19678428,0.164,0.406,0.020152083059742684;0.4064580144208599;0.163742742684624;,325147369,3.25E+08,325147890,325147890;325147369;325146848;,52,52,52,52.0;52.0;52.0;,0.64443278,0.634,0.688,0.6107925428157648;0.6344488242334464;0.688056973455403;,34.66666667,35,35,34.0;35.0;35.0;,0,0,0,0;0;0;,1.8,1.467,2.773,1.4666666666666666;2.7733333333333334;1.16;,0.199843483,0.165,0.414,0.02088841892986304;0.41358868660735143;0.165053343917556;
Jan 10-- 2021 11:16:56 AM,40145,57736,58627,57736;58158;58627;13485;12719;,0.320909784,0.321,0.488,0.4878166046840385;0.1540029628993481;,325151276.5,3.25E+08,325151537,325151537;325151016;,52,52,52,52.0;52.0;,0.670809634,0.671,0.71,0.709743645340698;0.63187562327639;,35.5,35.5,36,35.0;36.0;,0,0,0,0;0;,1.353333333,1.353,1.533,1.1733333333333333;1.5333333333333332;,0.323223106,0.323,0.491,0.4905712751642035;0.15587493679062958;
Jan 10-- 2021 11:20:26 AM,12966,13313,15172,13313;15172;14453;9501;12391;,0.288462809,0.288,0.441,0.44147753406622536;0.13544808300968392;,325321660.5,3.25E+08,325321921,325321921;325321400;,52,52,52,52.0;52.0;,0.280326537,0.28,0.324,0.3240716723577364;0.23658140104899722;,36.5,36.5,37,37.0;36.0;,0,0,0,0;0;,1.513333333,1.513,2.48,2.48;0.5466666666666666;,0.290014392,0.29,0.443,0.44304058876410146;0.13698819574642118;
Jan 10-- 2021 11:22:36 AM,14437.8,14421,15422,14421;13876;15422;14016;14454;,0.249974995,0.25,0.397,0.39671174160946043;0.10323824883381846;,325325307.5,3.25E+08,325325568,325325568;325325047;,52,52,52,52.0;52.0;,0.34794547,0.348,0.377,0.319275066346212;0.3766158727656888;,38,38,39,37.0;39.0;,2,2,4,0;4;,3.433333333,3.433,4.373,4.373333333333333;2.493333333333333;,0.257198921,0.257,0.41,0.4100648602950172;0.10433298080390019;
Jan 10-- 2021 11:26:06 AM,11559.4,12109,13781,11594;12109;13781;12594;7719;,0.323539941,0.324,0.529,0.5292887715150538;0.11779111147479887;,325329736,3.25E+08,325330257,325330257;325329215;,52,52,52,52.0;52.0;,0.486827002,0.487,0.51,0.5103623710663686;0.4632916322669166;,38,38,38,38.0;38.0;,0,0,0,0;0;,0.413333333,0.413,0.52,0.3066666666666667;0.52;,0.327080379,0.327,0.535,0.5352106043625946;0.1189501533395858;
Jan 10-- 2021 11:29:27 AM,88690.4,88878,90972,88878;90972;88612;89847;85143;,0.321387392,0.366,0.5,0.36570258842037917;0.4999946971990971;0.09846488953458564;,325333035.7,3.25E+08,325333904,325333904;325332862;325332341;,52,52,52,52.0;52.0;52.0;,0.606357768,0.67,0.71,0.4387752291629115;0.7098714065973167;0.6704266672487958;,39.33333333,39,40,39.0;39.0;40.0;,0,0,0,0;0;0;,0.551111111,0.52,0.613,0.52;0.52;0.6133333333333334;,0.322799939,0.367,0.502,0.3670147756699269;0.501790975291142;0.09959406509691471;
Jan 10-- 2021 11:32:56 AM,90568,90628,92050,91547;92050;90628;89096;89519;,0.252290608,0.181,0.56,0.01544433383486784;0.5600829982018722;0.1813444928225698;,325337030,3.25E+08,325337551,325337551;325337030;325336509;,52,52,52,52.0;52.0;52.0;,0.679416553,0.686,0.71,0.6860425355081416;0.6424253540151735;0.7097817704522486;,40.33333333,40,41,40.0;41.0;40.0;,0,0,0,0;0;0;,1.488888889,1.347,2.573,1.3466666666666667;2.5733333333333333;0.5466666666666666;,0.253043188,0.183,0.56,0.016512450873168105;0.5595635440829325;0.18305356757951208;
Jan 10-- 2021 11:39:44 AM,68075.6,68991,70024,69586;70024;68991;65615;66162;,0.167125839,0.141,0.342,0.3424739170567827;0.018082938419395622;0.1408206605393602;,325673551,3.26E+08,325674072,325674072;325673551;325673030;,52,52,52,52.0;52.0;52.0;,0.423924257,0.456,0.529,0.28678578754698497;0.4556833575211316;0.5293036251427639;,42.33333333,42,43,43.0;42.0;42.0;,2.666666667,0,8,8;0;0;,0.657777778,0.573,1.08,0.32;1.08;0.5733333333333334;,0.168882846,0.142,0.345,0.34544923317747367;0.01904397724953244;0.14215532631796457;
Jan 10-- 2021 11:43:17 AM,84390.6,84691,84831,84831;83190;84738;84691;84503;,0.213346734,0.213,0.307,0.3072872410708921;0.11940622787433836;,325677458.5,3.26E+08,325677719,325677719;325677198;,52,52,52,52.0;52.0;,0.339856266,0.34,0.345,0.34489454779377915;0.33481798496407955;,43,43,43,43.0;43.0;,0,0,0,0;0;,2.833333333,2.833,5.067,0.6;5.066666666666666;,0.214665874,0.215,0.309,0.3087582944653843;0.1205734540829637;
